case_id,item_id,account_segment,account_industry,health_score,open_escalation_count,product_archetype,product_family,charge_model,gross_margin_percent,gross_margin_band,strategic_product_tier,attach_product_type,is_core_product,usage_percent,active_user_percent,login_trend_30d,ticket_count_90d,sev1_count_90d,csat_score,current_quantity,current_discount_percent,current_arr,list_unit_price,net_unit_price,payment_risk_band,adoption_band,demo_scenario_key,rule_risk_score,rule_disposition,observed_renewal_outcome,observed_discount_accepted,observed_reviewer_override,observed_arr_delta_percent,risk_label,expansion_label
syn_case_0010,syn_item_0010,ENTERPRISE,RETAIL,86.7,0,SECURITY_ADD_ON,Security,Annual Subscription,80,HIGH,EXPANSION,ADD_ON,0,121.9,86.5,17.7,1,0,4.8,50,18.7,97574.0,2400,1951.5,LOW,VERY_STRONG,EXPANSION_UPSIDE,0,EXPAND,EXPANDED,1,0,12.5,5.1,1
syn_case_0011,syn_item_0011,MID_MARKET,FINANCIAL_SERVICES,59.8,1,STORAGE_CAPACITY,Infrastructure,Consumption,64,MEDIUM,EXPANSION,CAPACITY,0,52.2,32.4,-5.5,9,2,3.6,5,15.4,380628.9,90000,76125.8,LOW,MODERATE,ADOPTION_DECLINE,70,RENEW_WITH_CONCESSION,LOST,1,1,-7.8,87.0,0
syn_case_0012,syn_item_0012,ENTERPRISE,RETAIL,45.9,0,AI_ADD_ON,AI / Data,Usage Add-on,86,HIGH,STRATEGIC,ADD_ON,0,67.2,73.9,11.1,0,0,4.6,2,16.7,3998.8,2400,1999.4,LOW,MODERATE,BASE_CASE,0,RENEW,EXPANDED,1,0,9.9,4.5,1
syn_case_0013,syn_item_0013,MID_MARKET,TELECOM,86.2,0,USAGE_CLOUD_INFRA,Infrastructure,Annual / Consumption Commit,62,MEDIUM,STRATEGIC,CORE_PLATFORM,1,84.9,82.8,15.0,2,0,3.9,2,0,24000.0,12000,12000.0,MEDIUM,STRONG,BASE_CASE,0,RENEW,EXPANDED,1,0,24.5,0,1
syn_case_0014,syn_item_0014,ENTERPRISE,ENERGY,72.1,3,ANALYTICS_MODULE,Analytics,Annual Subscription,76,HIGH,EXPANSION,ADD_ON,0,92.5,80.7,21.5,2,0,4.3,1,10.4,134460.2,150000,134460.2,LOW,VERY_STRONG,EXPANSION_UPSIDE,0,EXPAND,EXPANDED,1,0,25.0,0,1
syn_case_0015,syn_item_0015,COMMERCIAL,TELECOM,74.9,2,AI_ADD_ON,AI / Data,Usage Add-on,86,HIGH,STRATEGIC,ADD_ON,0,109.9,85.7,29.2,2,0,4.7,5,16.1,377520.8,90000,75504.2,LOW,VERY_STRONG,EXPANSION_UPSIDE,0,EXPAND,EXPANDED,1,0,26.7,0,1
syn_case_0016,syn_item_0016,MID_MARKET,RETAIL,77.2,0,CORE_SAAS_SEATS,Applications,Per User / Annual,78,HIGH,CORE,CORE_SUITE,1,90.1,58.5,2.6,4,0,4.1,10,3.0,11641.4,1200,1164.1,MEDIUM,STRONG,BASE_CASE,0,RENEW,WON,1,0,-1.7,0,0
syn_case_0017,syn_item_0017,MID_MARKET,TELECOM,46.1,4,MARKETPLACE_INTEGRATION,Integrations,Annual Subscription,68,MEDIUM,ATTACH,ADD_ON,0,43.2,30.9,-22.2,10,2,2.8,3,6.2,16883.1,6000,5627.7,LOW,WEAK,ADOPTION_DECLINE,89,ESCALATE,WON,1,0,-13.8,76.8,0
syn_case_0018,syn_item_0018,ENTERPRISE,ENERGY,81.5,0,PREMIUM_SUPPORT,Support,Annual Subscription,58,MEDIUM,ATTACH,SUPPORT,0,53.1,53.1,-8.2,7,2,3.6,10,17.1,199024.1,24000,19902.4,MEDIUM,MODERATE,PAYMENT_APPROVAL_RISK,48,RENEW,WON,1,0,-3.0,41.5,0
syn_case_0019,syn_item_0019,COMMERCIAL,HEALTHCARE,68.3,6,USAGE_CLOUD_INFRA,Infrastructure,Annual / Consumption Commit,62,MEDIUM,STRATEGIC,CORE_PLATFORM,1,41.1,27.6,-5.1,15,2,2.5,1,12.4,10514.7,12000,10514.7,MEDIUM,WEAK,CUSTOMER_RISK_ESCALATION,83,ESCALATE,WON,1,0,-6.2,74.9,0
syn_case_0020,syn_item_0020,STRATEGIC,FINANCIAL_SERVICES,89.4,0,AI_ADD_ON,AI / Data,Usage Add-on,86,HIGH,STRATEGIC,ADD_ON,0,72.9,59.7,8.6,1,0,4.2,10,15.9,201904.2,24000,20190.4,MEDIUM,STRONG,BASE_CASE,0,RENEW,EXPANDED,1,0,27.5,0,1
syn_case_0021,syn_item_0021,COMMERCIAL,ENERGY,77.0,0,PREMIUM_SUPPORT,Support,Annual Subscription,58,MEDIUM,ATTACH,SUPPORT,0,112.2,97.8,14.0,2,0,4.5,1,16.5,75107.9,90000,75107.9,MEDIUM,VERY_STRONG,EXPANSION_UPSIDE,0,EXPAND,EXPANDED,1,0,6.8,8.0,1
syn_case_0022,syn_item_0022,MID_MARKET,FINANCIAL_SERVICES,51.2,6,PRO_SERVICES,Professional Services,One Time,34,LOW,SERVICES,SERVICES,0,31.6,36.0,-2.3,17,3,2.6,2,20.1,1917.5,1200,958.7,LOW,WEAK,CUSTOMER_RISK_ESCALATION,85,ESCALATE,LOST,1,1,-15.0,88.8,0
syn_case_0023,syn_item_0023,COMMERCIAL,TELECOM,98,0,DATA_PLATFORM,AI / Data,Annual Subscription,74,HIGH,STRATEGIC,CORE_PLATFORM,1,68.9,82.9,1.3,0,0,4.6,3,0,7200.0,2400,2400.0,MEDIUM,MODERATE,BASE_CASE,0,RENEW,EXPANDED,1,0,28.6,0,1
syn_case_0024,syn_item_0024,MID_MARKET,HEALTHCARE,62.0,4,PREMIUM_SAAS_SUITE,Applications,Annual Subscription,82,HIGH,STRATEGIC,CORE_SUITE,1,72.6,89.8,3.4,2,0,4.4,10,17.3,198525.1,24000,19852.5,LOW,STRONG,BASE_CASE,3,RENEW,EXPANDED,1,0,32.0,0,1
syn_case_0025,syn_item_0025,STRATEGIC,RETAIL,74.8,0,ANALYTICS_MODULE,Analytics,Annual Subscription,76,HIGH,EXPANSION,ADD_ON,0,64.1,84.5,10.2,0,1,3.9,50,5.9,7055068.0,150000,141101.4,LOW,MODERATE,BASE_CASE,2,RENEW,WON,1,0,-4.8,0,0
syn_case_0026,syn_item_0026,COMMERCIAL,HEALTHCARE,58.5,4,CORE_SAAS_SEATS,Applications,Per User / Annual,78,HIGH,CORE,CORE_SUITE,1,86.1,59.1,10.9,3,1,4.5,1,18.2,122654.0,150000,122654.0,LOW,STRONG,BASE_CASE,10,RENEW,WON,1,0,1.2,7.9,0
syn_case_0027,syn_item_0027,COMMERCIAL,TECHNOLOGY,98,0,DATA_PLATFORM,AI / Data,Annual Subscription,74,HIGH,STRATEGIC,CORE_PLATFORM,1,124.7,98.0,32.4,1,0,4.7,1,20.8,71263.8,90000,71263.8,LOW,VERY_STRONG,EXPANSION_UPSIDE,0,EXPAND,EXPANDED,1,0,29.4,0,1
syn_case_0028,syn_item_0028,MID_MARKET,ENERGY,37.4,4,STORAGE_CAPACITY,Infrastructure,Consumption,64,MEDIUM,EXPANSION,CAPACITY,0,56.3,47.6,-6.5,4,2,3.5,1,21.8,117315.4,150000,117315.4,HIGH,MODERATE,ADOPTION_DECLINE,47,RENEW,WON,1,0,0.1,46.1,0
syn_case_0029,syn_item_0029,ENTERPRISE,FINANCIAL_SERVICES,63.4,0,SECURITY_ADD_ON,Security,Annual Subscription,80,HIGH,EXPANSION,ADD_ON,0,112.9,95.1,6.0,3,0,4.9,100,8.0,110416.7,1200,1104.2,LOW,VERY_STRONG,EXPANSION_UPSIDE,0,EXPAND,EXPANDED,1,0,11.0,1.4,1
syn_case_0030,syn_item_0030,ENTERPRISE,HEALTHCARE,93.0,0,SECURITY_ADD_ON,Security,Annual Subscription,80,HIGH,EXPANSION,ADD_ON,0,88.9,66.0,8.9,3,0,4.8,25,12.8,3271396.4,150000,130855.9,MEDIUM,STRONG,BASE_CASE,0,RENEW,EXPANDED,1,0,22.9,1.0,1
syn_case_0031,syn_item_0031,COMMERCIAL,MANUFACTURING,57.1,4,STORAGE_CAPACITY,Infrastructure,Consumption,64,MEDIUM,EXPANSION,CAPACITY,0,41.3,54.9,-20.4,11,0,3.8,1,29.1,851.1,1200,851.1,MEDIUM,WEAK,ADOPTION_DECLINE,45,RENEW,WON,1,0,1.3,42.4,0
syn_case_0032,syn_item_0032,MID_MARKET,TECHNOLOGY,66.5,2,SECURITY_ADD_ON,Security,Annual Subscription,80,HIGH,EXPANSION,ADD_ON,0,84.7,63.7,9.9,2,0,5.0,3,16.5,6012.1,2400,2004.0,MEDIUM,STRONG,BASE_CASE,0,RENEW,EXPANDED,1,0,12.8,0,1
syn_case_0033,syn_item_0033,COMMERCIAL,TELECOM,70.6,2,DATA_PLATFORM,AI / Data,Annual Subscription,74,HIGH,STRATEGIC,CORE_PLATFORM,1,70.9,66.2,7.9,4,1,4.2,1,24.3,908.0,1200,908.0,HIGH,STRONG,MARGIN_RECOVERY,24,RENEW,EXPANDED,1,0,15.1,13.7,1
syn_case_0034,syn_item_0034,COMMERCIAL,RETAIL,75.3,0,SECURITY_ADD_ON,Security,Annual Subscription,80,HIGH,EXPANSION,ADD_ON,0,65.3,73.0,5.1,1,0,4.4,1,16.1,10065.2,12000,10065.2,LOW,MODERATE,BASE_CASE,0,RENEW,EXPANDED,1,0,7.3,0.5,1
syn_case_0035,syn_item_0035,ENTERPRISE,TELECOM,79.1,0,PREMIUM_SUPPORT,Support,Annual Subscription,58,MEDIUM,ATTACH,SUPPORT,0,79.3,74.2,0.0,4,1,4.1,50,31.6,5129974.3,150000,102599.5,LOW,STRONG,MARGIN_RECOVERY,5,RENEW,WON,1,0,-2.5,0,0
syn_case_0036,syn_item_0036,COMMERCIAL,FINANCIAL_SERVICES,43.3,0,SECURITY_ADD_ON,Security,Annual Subscription,80,HIGH,EXPANSION,ADD_ON,0,68.1,64.0,-3.8,3,1,4.8,3,16.9,119734.2,48000,39911.4,HIGH,MODERATE,BASE_CASE,31,RENEW,WON,1,0,4.4,32.4,0
syn_case_0037,syn_item_0037,STRATEGIC,HEALTHCARE,97.0,0,ANALYTICS_MODULE,Analytics,Annual Subscription,76,HIGH,EXPANSION,ADD_ON,0,80.1,73.1,10.5,0,0,4.1,5,19.4,604600.9,150000,120920.2,LOW,STRONG,BASE_CASE,0,RENEW,EXPANDED,1,0,11.3,0,1
syn_case_0038,syn_item_0038,COMMERCIAL,ENERGY,45.1,1,PRO_SERVICES,Professional Services,One Time,34,LOW,SERVICES,SERVICES,0,44.2,34.5,-8.5,6,0,3.2,5,25.4,179133.6,48000,35826.7,LOW,WEAK,ADOPTION_DECLINE,64,RENEW_WITH_CONCESSION,LOST,1,1,-9.2,79.2,0
syn_case_0039,syn_item_0039,COMMERCIAL,TECHNOLOGY,54.8,7,DATA_PLATFORM,AI / Data,Annual Subscription,74,HIGH,STRATEGIC,CORE_PLATFORM,1,30.9,49.6,-6.1,17,3,2.9,100,21.8,11733572.3,150000,117335.7,MEDIUM,WEAK,CUSTOMER_RISK_ESCALATION,87,ESCALATE,WON,1,1,-16.3,94.3,0
syn_case_0040,syn_item_0040,ENTERPRISE,MANUFACTURING,30.9,3,PREMIUM_SUPPORT,Support,Annual Subscription,58,MEDIUM,ATTACH,SUPPORT,0,39.3,35.2,-18.9,8,2,3.5,50,18.6,97700.3,2400,1954.0,MEDIUM,WEAK,ADOPTION_DECLINE,63,RENEW_WITH_CONCESSION,WON,1,0,-6.9,61.3,0
syn_case_0041,syn_item_0041,COMMERCIAL,MANUFACTURING,86.1,0,USAGE_CLOUD_INFRA,Infrastructure,Annual / Consumption Commit,62,MEDIUM,STRATEGIC,CORE_PLATFORM,1,65.2,87.1,8.6,4,0,4.1,50,21.3,944606.2,24000,18892.1,MEDIUM,MODERATE,BASE_CASE,0,RENEW,WON,1,0,-1.6,0,0
syn_case_0042,syn_item_0042,COMMERCIAL,RETAIL,74.5,4,STORAGE_CAPACITY,Infrastructure,Consumption,64,MEDIUM,EXPANSION,CAPACITY,0,50.8,49.4,2.2,3,2,3.3,2,19.7,1926.3,1200,963.1,HIGH,MODERATE,PAYMENT_APPROVAL_RISK,48,RENEW,WON,1,0,-4.6,50.1,0
syn_case_0043,syn_item_0043,ENTERPRISE,FINANCIAL_SERVICES,85.5,0,PREMIUM_SUPPORT,Support,Annual Subscription,58,MEDIUM,ATTACH,SUPPORT,0,94.2,79.6,17.3,3,0,3.9,1,26.1,887.2,1200,887.2,LOW,VERY_STRONG,BASE_CASE,0,EXPAND,WON,1,0,-0.5,0,0
syn_case_0044,syn_item_0044,MID_MARKET,HEALTHCARE,74.5,1,AI_ADD_ON,AI / Data,Usage Add-on,86,HIGH,STRATEGIC,ADD_ON,0,32.6,35.6,-7.0,4,1,3.4,1,7.1,1114.6,1200,1114.6,MEDIUM,WEAK,ADOPTION_DECLINE,40,DROP,WON,1,0,-25.6,51.5,0
syn_case_0045,syn_item_0045,ENTERPRISE,ENERGY,88.1,0,PRO_SERVICES,Professional Services,One Time,34,LOW,SERVICES,SERVICES,0,49.3,50.2,8.9,4,1,3.1,5,20.4,47741.5,12000,9548.3,HIGH,MODERATE,PAYMENT_APPROVAL_RISK,42,RENEW,WON,1,0,0.5,53.3,0
syn_case_0046,syn_item_0046,MID_MARKET,RETAIL,55.4,4,PREMIUM_SAAS_SUITE,Applications,Annual Subscription,82,HIGH,STRATEGIC,CORE_SUITE,1,80.3,62.9,16.3,2,1,4.5,1,22.8,4629.8,6000,4629.8,MEDIUM,STRONG,BASE_CASE,12,RENEW,EXPANDED,1,0,7.2,0,1
syn_case_0047,syn_item_0047,COMMERCIAL,TECHNOLOGY,77.2,0,AI_ADD_ON,AI / Data,Usage Add-on,86,HIGH,STRATEGIC,ADD_ON,0,41.3,51.9,-5.2,9,0,3.0,5,13.9,206631.5,48000,41326.3,LOW,WEAK,ADOPTION_DECLINE,36,RENEW,WON,1,0,-6.8,35.7,0
syn_case_0048,syn_item_0048,COMMERCIAL,PUBLIC_SECTOR,98,0,ANALYTICS_MODULE,Analytics,Annual Subscription,76,HIGH,EXPANSION,ADD_ON,0,71.5,60.8,-1.8,2,1,4.0,5,21.7,9398.8,2400,1879.8,LOW,STRONG,BASE_CASE,4,RENEW,EXPANDED,1,0,24.4,4.5,1
syn_case_0049,syn_item_0049,ENTERPRISE,ENERGY,76.4,0,PREMIUM_SUPPORT,Support,Annual Subscription,58,MEDIUM,ATTACH,SUPPORT,0,81.8,88.8,8.7,3,0,4.2,2,14.7,20467.9,12000,10233.9,LOW,STRONG,BASE_CASE,0,RENEW,EXPANDED,1,0,9.0,1.6,1
syn_case_0050,syn_item_0050,ENTERPRISE,ENERGY,56.7,1,PRO_SERVICES,Professional Services,One Time,34,LOW,SERVICES,SERVICES,0,97.4,85.6,6.7,2,0,4.8,1,21.3,37795.9,48000,37795.9,LOW,VERY_STRONG,EXPANSION_UPSIDE,0,EXPAND,EXPANDED,1,0,26.8,7.9,1
syn_case_0051,syn_item_0051,COMMERCIAL,HEALTHCARE,66.9,2,CORE_SAAS_SEATS,Applications,Per User / Annual,78,HIGH,CORE,CORE_SUITE,1,76.7,60.9,5.1,1,0,3.9,2,29.7,33755.9,24000,16878.0,MEDIUM,STRONG,BASE_CASE,0,RENEW,WON,1,0,5.2,0,0
syn_case_0052,syn_item_0052,ENTERPRISE,RETAIL,89.9,0,AI_ADD_ON,AI / Data,Usage Add-on,86,HIGH,STRATEGIC,ADD_ON,0,52.1,57.7,-1.6,4,0,3.9,5,21.1,94698.8,24000,18939.8,LOW,MODERATE,PAYMENT_APPROVAL_RISK,10,RENEW,WON,1,0,1.7,17.4,0
syn_case_0053,syn_item_0053,STRATEGIC,TELECOM,64.9,4,PREMIUM_SUPPORT,Support,Annual Subscription,58,MEDIUM,ATTACH,SUPPORT,0,122.6,90.5,13.1,1,0,4.6,3,14.8,122632.3,48000,40877.4,LOW,VERY_STRONG,EXPANSION_UPSIDE,0,EXPAND,EXPANDED,1,0,25.8,0,1
syn_case_0054,syn_item_0054,STRATEGIC,TELECOM,44.0,1,DATA_PLATFORM,AI / Data,Annual Subscription,74,HIGH,STRATEGIC,CORE_PLATFORM,1,39.5,37.3,-18.9,16,2,3.3,1,9.3,21771.0,24000,21771.0,HIGH,WEAK,CUSTOMER_RISK_ESCALATION,78,RENEW_WITH_CONCESSION,CONTRACTED,1,1,0.9,75.7,0
syn_case_0055,syn_item_0055,STRATEGIC,PUBLIC_SECTOR,64.8,2,DATA_PLATFORM,AI / Data,Annual Subscription,74,HIGH,STRATEGIC,CORE_PLATFORM,1,83.0,60.9,16.2,1,0,4.0,100,19.7,7223038.9,90000,72230.4,LOW,STRONG,BASE_CASE,1,RENEW,EXPANDED,1,0,20.8,0,1
syn_case_0056,syn_item_0056,COMMERCIAL,MANUFACTURING,47.5,3,DATA_PLATFORM,AI / Data,Annual Subscription,74,HIGH,STRATEGIC,CORE_PLATFORM,1,62.9,64.2,-15.6,15,4,2.7,1,26.2,17716.9,24000,17716.9,LOW,MODERATE,CUSTOMER_RISK_ESCALATION,61,ESCALATE,WON,1,1,-9.5,67.7,0
syn_case_0057,syn_item_0057,COMMERCIAL,HEALTHCARE,46.1,3,PREMIUM_SUPPORT,Support,Annual Subscription,58,MEDIUM,ATTACH,SUPPORT,0,24.8,49.0,-20.2,10,2,3.6,2,0,12000.0,6000,6000.0,LOW,WEAK,ADOPTION_DECLINE,73,RENEW_WITH_CONCESSION,LOST,1,1,-6.2,83.7,0
syn_case_0058,syn_item_0058,ENTERPRISE,TECHNOLOGY,60.8,2,PRO_SERVICES,Professional Services,One Time,34,LOW,SERVICES,SERVICES,0,86.4,67.3,3.7,5,1,4.7,1,25.3,35854.3,48000,35854.3,LOW,STRONG,MARGIN_RECOVERY,22,RENEW,EXPANDED,1,0,21.3,32.1,1
syn_case_0059,syn_item_0059,STRATEGIC,TECHNOLOGY,50.0,4,STORAGE_CAPACITY,Infrastructure,Consumption,64,MEDIUM,EXPANSION,CAPACITY,0,36.4,18.2,-4.6,9,2,3.7,1,0,1200.0,1200,1200.0,LOW,WEAK,ADOPTION_DECLINE,70,RENEW_WITH_CONCESSION,WON,1,0,-7.7,68.5,0
syn_case_0060,syn_item_0060,STRATEGIC,PUBLIC_SECTOR,61.4,1,PREMIUM_SUPPORT,Support,Annual Subscription,58,MEDIUM,ATTACH,SUPPORT,0,62.6,46.0,9.6,8,2,4.0,2,0,48000.0,24000,24000.0,HIGH,MODERATE,PAYMENT_APPROVAL_RISK,48,RENEW,WON,1,0,5.4,56.2,0
syn_case_0061,syn_item_0061,ENTERPRISE,TECHNOLOGY,73.4,1,ANALYTICS_MODULE,Analytics,Annual Subscription,76,HIGH,EXPANSION,ADD_ON,0,71.8,70.4,17.5,3,1,4.0,10,12.1,210927.3,24000,21092.7,LOW,STRONG,BASE_CASE,5,RENEW,EXPANDED,1,0,7.9,4.0,1
syn_case_0062,syn_item_0062,ENTERPRISE,TECHNOLOGY,56.3,1,PRO_SERVICES,Professional Services,One Time,34,LOW,SERVICES,SERVICES,0,79.3,86.6,16.2,1,0,4.2,2,16.6,80054.5,48000,40027.2,LOW,STRONG,BASE_CASE,0,RENEW,WON,1,0,-2.1,1.1,0
syn_case_0063,syn_item_0063,STRATEGIC,TELECOM,85.1,0,STORAGE_CAPACITY,Infrastructure,Consumption,64,MEDIUM,EXPANSION,CAPACITY,0,90.8,80.7,24.6,1,0,4.1,10,10.4,107474.9,12000,10747.5,MEDIUM,STRONG,EXPANSION_UPSIDE,0,RENEW,EXPANDED,1,0,19.8,8.6,1
syn_case_0064,syn_item_0064,COMMERCIAL,FINANCIAL_SERVICES,64.4,2,DATA_PLATFORM,AI / Data,Annual Subscription,74,HIGH,STRATEGIC,CORE_PLATFORM,1,110.6,78.7,28.2,2,0,4.4,10,8.4,219801.9,24000,21980.2,LOW,VERY_STRONG,EXPANSION_UPSIDE,0,EXPAND,EXPANDED,1,0,11.6,7.3,1
syn_case_0065,syn_item_0065,MID_MARKET,FINANCIAL_SERVICES,65.4,2,COMPLIANCE_GOVERNANCE,Compliance,Annual Subscription,79,HIGH,STRATEGIC,ADD_ON,0,31.0,36.2,-25.6,7,2,2.7,10,3.9,1441469.4,150000,144146.9,LOW,WEAK,ADOPTION_DECLINE,70,RENEW_WITH_CONCESSION,WON,1,0,-5.4,69.7,0
syn_case_0066,syn_item_0066,STRATEGIC,FINANCIAL_SERVICES,60.5,1,DATA_PLATFORM,AI / Data,Annual Subscription,74,HIGH,STRATEGIC,CORE_PLATFORM,1,89.2,83.3,7.8,2,1,4.7,1,35.7,1543.6,2400,1543.6,LOW,STRONG,MARGIN_RECOVERY,13,RENEW,EXPANDED,1,0,22.3,19.7,1
syn_case_0067,syn_item_0067,COMMERCIAL,FINANCIAL_SERVICES,91.8,0,SECURITY_ADD_ON,Security,Annual Subscription,80,HIGH,EXPANSION,ADD_ON,0,70.5,74.1,8.9,4,0,4.6,3,19.4,362707.6,150000,120902.5,MEDIUM,STRONG,MARGIN_RECOVERY,0,RENEW,EXPANDED,1,0,8.0,4.8,1
syn_case_0068,syn_item_0068,ENTERPRISE,FINANCIAL_SERVICES,56.7,3,SECURITY_ADD_ON,Security,Annual Subscription,80,HIGH,EXPANSION,ADD_ON,0,92.1,64.6,5.8,2,1,4.4,5,28.0,86366.9,24000,17273.4,HIGH,VERY_STRONG,BASE_CASE,24,EXPAND,EXPANDED,1,0,13.5,21.2,1
syn_case_0069,syn_item_0069,STRATEGIC,FINANCIAL_SERVICES,98,0,STORAGE_CAPACITY,Infrastructure,Consumption,64,MEDIUM,EXPANSION,CAPACITY,0,60.8,55.6,9.1,2,0,4.2,1,31.6,4101.8,6000,4101.8,MEDIUM,MODERATE,MARGIN_RECOVERY,0,RENEW,WON,0,0,-1.7,0,0
syn_case_0070,syn_item_0070,STRATEGIC,RETAIL,91.2,0,SECURITY_ADD_ON,Security,Annual Subscription,80,HIGH,EXPANSION,ADD_ON,0,114.5,95.3,6.3,0,0,4.7,5,16.0,100793.6,24000,20158.7,LOW,VERY_STRONG,EXPANSION_UPSIDE,0,EXPAND,EXPANDED,1,0,19.7,0,1
syn_case_0071,syn_item_0071,STRATEGIC,PUBLIC_SECTOR,93.4,0,CORE_SAAS_SEATS,Applications,Per User / Annual,78,HIGH,CORE,CORE_SUITE,1,59.0,65.0,1.4,5,0,4.5,25,34.9,781736.4,48000,31269.5,LOW,MODERATE,MARGIN_RECOVERY,6,RENEW,WON,1,0,3.5,0.5,1
syn_case_0072,syn_item_0072,ENTERPRISE,MANUFACTURING,64.3,1,STORAGE_CAPACITY,Infrastructure,Consumption,64,MEDIUM,EXPANSION,CAPACITY,0,57.8,36.5,-11.7,5,0,3.2,2,10.5,161088.1,90000,80544.1,LOW,MODERATE,ADOPTION_DECLINE,28,RENEW,WON,1,0,-2.1,27.4,0
syn_case_0073,syn_item_0073,COMMERCIAL,HEALTHCARE,52.2,2,DATA_PLATFORM,AI / Data,Annual Subscription,74,HIGH,STRATEGIC,CORE_PLATFORM,1,63.7,35.3,-17.1,13,3,3.2,50,14.7,51173.3,1200,1023.5,MEDIUM,MODERATE,CUSTOMER_RISK_ESCALATION,59,ESCALATE,WON,1,1,-12.7,65.8,0
syn_case_0074,syn_item_0074,ENTERPRISE,TELECOM,95.5,0,USAGE_CLOUD_INFRA,Infrastructure,Annual / Consumption Commit,62,MEDIUM,STRATEGIC,CORE_PLATFORM,1,55.6,79.7,-1.1,2,1,4.1,1,22.6,9283.9,12000,9283.9,HIGH,MODERATE,PAYMENT_APPROVAL_RISK,9,RENEW,WON,1,0,3.7,7.1,0
